"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","177.57","178.09","179.23","177.26","64.06M","-0.35%"
"Dec 30, 2021","178.20","179.47","180.57","178.09","59.36M","-0.66%"
"Dec 29, 2021","179.38","179.33","180.63","178.14","61.07M","0.05%"
"Dec 28, 2021","179.29","180.16","181.33","178.53","76.89M","-0.58%"
"Dec 27, 2021","180.33","177.09","180.42","177.07","73.01M","2.30%"
"Dec 23, 2021","176.28","175.85","176.85","175.27","68.36M","0.36%"
"Dec 22, 2021","175.64","173.04","175.86","172.15","90.40M","1.53%"
"Dec 21, 2021","172.99","171.55","173.20","169.12","85.12M","1.91%"
"Dec 20, 2021","169.75","168.28","170.58","167.46","105.93M","-0.81%"
"Dec 17, 2021","171.14","169.93","173.47","169.69","195.92M","-0.65%"
"Dec 16, 2021","172.26","179.28","181.14","170.75","148.69M","-3.93%"
"Dec 15, 2021","179.30","175.11","179.50","172.31","124.33M","2.85%"
"Dec 14, 2021","174.33","175.25","177.74","172.21","132.54M","-0.80%"
"Dec 13, 2021","175.74","181.12","182.13","175.53","149.50M","-2.07%"
"Dec 10, 2021","179.45","175.21","179.63","174.69","115.40M","2.80%"
"Dec 09, 2021","174.56","174.91","176.75","173.92","108.51M","-0.30%"
"Dec 08, 2021","175.08","172.13","175.96","170.70","116.39M","2.28%"
"Dec 07, 2021","171.18","169.08","171.58","168.34","115.60M","3.54%"
"Dec 06, 2021","165.32","164.29","167.88","164.28","106.62M","2.15%"
"Dec 03, 2021","161.84","164.02","164.96","159.72","118.02M","-1.17%"
"Dec 02, 2021","163.76","158.74","164.20","157.80","136.34M","-0.61%"
"Dec 01, 2021","164.77","167.48","170.30","164.53","152.42M","-0.32%"
"Nov 30, 2021","165.30","159.99","165.52","159.92","169.98M","3.16%"
"Nov 29, 2021","160.24","159.37","161.19","158.79","87.42M","2.19%"
"Nov 26, 2021","156.81","159.57","160.45","156.36","76.95M","-3.17%"
"Nov 24, 2021","161.94","160.75","162.14","159.64","69.46M","0.33%"
"Nov 23, 2021","161.41","161.12","161.80","159.06","95.44M","0.24%"
"Nov 22, 2021","161.02","161.68","165.70","161.00","116.20M","0.29%"
"Nov 19, 2021","160.55","157.65","161.02","156.53","117.31M","1.70%"
"Nov 18, 2021","157.87","153.71","158.67","153.05","137.83M","2.85%"
"Nov 17, 2021","153.49","150.99","155.00","150.99","88.11M","1.65%"
"Nov 16, 2021","151.00","149.94","151.49","149.34","58.62M","0.67%"
"Nov 15, 2021","150.00","150.37","151.88","149.43","59.22M","0.01%"
"Nov 12, 2021","149.99","148.43","150.40","147.48","63.80M","1.43%"
"Nov 11, 2021","147.87","148.96","149.43","147.68","40.72M","-0.03%"
"Nov 10, 2021","147.92","150.02","150.13","147.85","64.35M","-1.92%"
"Nov 09, 2021","150.81","150.20","151.43","150.06","56.57M","0.25%"
"Nov 08, 2021","150.44","151.41","151.57","150.16","54.77M","-0.56%"
"Nov 05, 2021","151.28","151.89","152.20","150.06","65.46M","0.21%"
"Nov 04, 2021","150.96","151.58","152.43","150.64","60.06M","-0.35%"
"Nov 03, 2021","151.49","150.39","151.97","149.82","54.00M","0.98%"
"Nov 02, 2021","150.02","148.66","151.57","148.65","68.92M","0.71%"
"Nov 01, 2021","148.96","148.99","149.70","147.80","73.40M","-0.56%"
"Oct 29, 2021","149.80","147.21","149.94","146.41","124.95M","-1.82%"
"Oct 28, 2021","152.57","149.82","153.16","149.72","89.71M","2.50%"
"Oct 27, 2021","148.85","149.36","149.73","148.49","55.79M","-0.31%"
"Oct 26, 2021","149.32","149.33","150.84","149.01","60.63M","0.46%"
"Oct 25, 2021","148.64","148.68","149.37","147.62","50.38M","-0.03%"
"Oct 22, 2021","148.69","149.69","150.18","148.64","58.88M","-0.53%"
"Oct 21, 2021","149.48","148.81","149.64","147.87","61.12M","0.15%"
"Oct 20, 2021","149.26","148.70","149.75","148.12","58.09M","0.34%"
"Oct 19, 2021","148.76","147.01","149.17","146.55","76.38M","1.51%"
"Oct 18, 2021","146.55","143.45","146.84","143.16","82.92M","1.18%"
"Oct 15, 2021","144.84","143.77","144.90","143.51","67.94M","0.75%"
"Oct 14, 2021","143.76","142.11","143.88","141.51","67.21M","2.02%"
"Oct 13, 2021","140.91","141.24","141.40","139.20","77.57M","-0.42%"
"Oct 12, 2021","141.51","143.23","143.25","141.04","73.04M","-0.91%"
"Oct 11, 2021","142.81","142.27","144.81","141.81","64.26M","-0.06%"
"Oct 08, 2021","142.90","144.03","144.18","142.56","58.77M","-0.27%"
"Oct 07, 2021","143.29","143.06","144.21","142.72","61.41M","0.91%"
"Oct 06, 2021","142.00","139.47","142.15","138.37","82.62M","0.63%"
"Oct 05, 2021","141.11","139.49","142.24","139.36","80.58M","1.42%"
"Oct 04, 2021","139.14","141.76","142.21","138.27","97.90M","-2.46%"
"Oct 01, 2021","142.65","141.90","142.92","139.11","94.64M","0.81%"
