"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","163.60","164.10","165.17","163.25","1.72M","-0.34%"
"Dec 30, 2021","164.16","164.62","165.80","164.00","1.62M","0.20%"
"Dec 29, 2021","163.83","164.62","164.93","163.26","2.06M","-0.35%"
"Dec 28, 2021","164.41","163.60","166.13","163.60","2.03M","0.01%"
"Dec 27, 2021","164.39","165.00","165.00","162.53","1.66M","0.12%"
"Dec 23, 2021","164.19","163.86","166.40","163.59","3.14M","1.06%"
"Dec 22, 2021","162.47","160.53","163.17","160.45","2.82M","0.97%"
"Dec 21, 2021","160.91","157.75","161.05","157.52","3.71M","3.22%"
"Dec 20, 2021","155.89","157.00","158.21","153.78","3.80M","-2.57%"
"Dec 17, 2021","160.01","161.00","161.32","156.95","9.58M","-1.83%"
"Dec 16, 2021","163.00","164.00","165.18","161.90","4.87M","0.47%"
"Dec 15, 2021","162.24","162.71","163.05","158.53","4.50M","-0.37%"
"Dec 14, 2021","162.85","162.14","165.26","161.06","2.94M","-0.28%"
"Dec 13, 2021","163.30","166.40","166.40","161.99","3.46M","-2.23%"
"Dec 10, 2021","167.03","169.38","170.58","165.96","2.77M","-0.59%"
"Dec 09, 2021","168.02","167.85","168.83","166.55","2.24M","-0.54%"
"Dec 08, 2021","168.93","167.98","170.54","167.28","3.96M","1.19%"
"Dec 07, 2021","166.95","164.50","169.16","164.16","5.05M","3.90%"
"Dec 06, 2021","160.68","159.07","162.74","158.05","4.10M","3.04%"
"Dec 03, 2021","155.94","158.08","158.33","153.63","4.07M","-0.53%"
"Dec 02, 2021","156.77","151.68","157.91","151.46","5.61M","4.47%"
"Dec 01, 2021","150.06","156.10","157.07","149.89","6.16M","-1.47%"
"Nov 30, 2021","152.30","155.09","155.87","151.70","7.10M","-3.52%"
"Nov 29, 2021","157.86","160.75","161.41","154.34","6.25M","0.66%"
"Nov 26, 2021","156.82","165.09","165.24","154.49","6.80M","-8.62%"
"Nov 24, 2021","171.61","168.48","171.98","167.90","3.59M","0.44%"
"Nov 23, 2021","170.85","171.30","171.95","167.83","5.25M","-0.03%"
"Nov 22, 2021","170.90","174.99","175.25","170.89","4.58M","-1.52%"
"Nov 19, 2021","173.54","173.73","175.26","171.84","4.46M","-1.52%"
"Nov 18, 2021","176.21","180.00","180.37","175.84","4.02M","-1.89%"
"Nov 17, 2021","179.61","181.18","181.74","178.20","3.52M","-0.72%"
"Nov 16, 2021","180.92","183.40","183.40","179.74","3.26M","-1.21%"
"Nov 15, 2021","183.13","182.53","183.93","182.04","1.75M","0.68%"
"Nov 12, 2021","181.89","180.71","182.38","179.65","2.39M","0.33%"
"Nov 11, 2021","181.30","181.99","182.73","180.74","2.09M","-0.05%"
"Nov 10, 2021","181.39","179.36","183.48","179.36","3.28M","0.85%"
"Nov 09, 2021","179.86","179.76","181.19","178.43","3.02M","-0.11%"
"Nov 08, 2021","180.05","178.07","182.09","177.79","3.24M","1.90%"
"Nov 05, 2021","176.69","176.18","177.79","175.35","3.94M","2.41%"
"Nov 04, 2021","172.53","172.13","174.02","171.66","3.29M","-0.05%"
"Nov 03, 2021","172.61","172.70","173.83","171.75","3.83M","-0.32%"
"Nov 02, 2021","173.17","175.00","175.20","172.57","3.25M","-0.60%"
"Nov 01, 2021","174.21","174.58","176.07","173.34","2.23M","0.25%"
"Oct 29, 2021","173.78","175.63","176.67","173.04","3.46M","-0.48%"
"Oct 28, 2021","174.61","178.40","179.23","173.02","4.84M","-1.92%"
"Oct 27, 2021","178.03","180.10","183.73","177.91","3.17M","-1.61%"
"Oct 26, 2021","180.95","183.42","183.50","177.52","3.78M","-0.75%"
"Oct 25, 2021","182.31","186.73","187.21","181.83","3.58M","-2.55%"
"Oct 22, 2021","187.08","185.00","189.03","182.20","6.03M","5.42%"
"Oct 21, 2021","177.47","179.58","179.79","176.01","3.30M","-1.19%"
"Oct 20, 2021","179.60","176.95","179.77","176.21","2.38M","1.29%"
"Oct 19, 2021","177.31","177.73","178.00","176.26","1.40M","0.28%"
"Oct 18, 2021","176.82","175.58","177.60","174.33","1.85M","0.57%"
"Oct 15, 2021","175.81","173.77","177.77","173.15","3.04M","2.51%"
"Oct 14, 2021","171.51","171.00","172.38","169.81","2.83M","1.65%"
"Oct 13, 2021","168.72","172.78","174.09","167.08","5.59M","-3.54%"
"Oct 12, 2021","174.91","173.61","176.56","173.10","3.07M","0.84%"
"Oct 11, 2021","173.46","175.79","176.79","173.33","2.49M","-0.96%"
"Oct 08, 2021","175.15","173.85","176.98","173.53","2.38M","0.49%"
"Oct 07, 2021","174.29","175.50","176.87","173.70","2.91M","0.51%"
"Oct 06, 2021","173.40","172.55","174.90","169.90","2.89M","-0.78%"
"Oct 05, 2021","174.76","173.43","176.06","172.64","2.63M","1.22%"
"Oct 04, 2021","172.66","173.88","177.23","171.88","3.52M","-0.74%"
"Oct 01, 2021","173.94","168.50","175.12","168.48","3.96M","3.83%"
