"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","63.37","63.54","63.82","63.32","10.25M","-0.39%"
"Dec 30, 2021","63.62","64.04","64.14","63.47","9.00M","-0.53%"
"Dec 29, 2021","63.96","63.65","64.29","63.55","15.05M","0.68%"
"Dec 28, 2021","63.53","63.42","63.84","63.23","12.66M","0.17%"
"Dec 27, 2021","63.42","62.41","63.47","62.28","14.70M","1.83%"
"Dec 23, 2021","62.28","61.79","62.90","61.79","17.77M","1.22%"
"Dec 22, 2021","61.53","60.97","61.60","60.62","16.91M","0.82%"
"Dec 21, 2021","61.03","60.44","61.24","60.00","20.09M","1.11%"
"Dec 20, 2021","60.36","59.67","60.41","59.30","21.05M","-0.17%"
"Dec 17, 2021","60.46","60.27","60.79","59.78","62.33M","0.25%"
"Dec 16, 2021","60.31","60.05","60.76","59.87","23.59M","0.63%"
"Dec 15, 2021","59.93","57.92","60.03","57.90","27.51M","3.74%"
"Dec 14, 2021","57.77","58.34","58.53","57.37","18.08M","-1.43%"
"Dec 13, 2021","58.61","59.10","59.51","58.54","16.55M","-1.08%"
"Dec 10, 2021","59.25","57.91","59.34","57.91","19.90M","2.95%"
"Dec 09, 2021","57.55","57.19","57.83","56.93","16.38M","0.93%"
"Dec 08, 2021","57.02","58.08","58.13","56.63","23.59M","-1.83%"
"Dec 07, 2021","58.08","57.10","58.22","57.01","23.38M","1.97%"
"Dec 06, 2021","56.96","56.70","57.17","56.47","23.04M","1.30%"
"Dec 03, 2021","56.23","56.30","56.82","55.67","26.24M","0.14%"
"Dec 02, 2021","56.15","55.15","56.61","55.08","22.37M","2.04%"
"Dec 01, 2021","55.03","55.53","56.38","54.93","24.13M","0.35%"
"Nov 30, 2021","54.84","55.58","55.60","54.15","44.00M","-1.65%"
"Nov 29, 2021","55.76","55.14","56.19","54.83","25.50M","1.99%"
"Nov 26, 2021","54.67","54.46","55.19","54.46","16.73M","-1.57%"
"Nov 24, 2021","55.54","55.15","55.75","55.15","19.33M","0.43%"
"Nov 23, 2021","55.30","54.61","55.58","54.47","25.65M","1.28%"
"Nov 22, 2021","54.60","53.35","55.53","53.30","39.47M","2.54%"
"Nov 19, 2021","53.25","53.54","53.69","52.78","30.03M","-0.71%"
"Nov 18, 2021","53.63","52.73","53.93","51.08","70.84M","-5.51%"
"Nov 17, 2021","56.76","56.61","57.14","56.27","30.02M","-0.42%"
"Nov 16, 2021","57.00","57.24","58.08","56.92","20.70M","-0.47%"
"Nov 15, 2021","57.27","56.93","57.70","56.83","19.04M","0.79%"
"Nov 12, 2021","56.82","56.97","57.15","56.31","16.66M","0.11%"
"Nov 11, 2021","56.76","57.57","57.77","56.69","17.03M","-1.75%"
"Nov 10, 2021","57.77","57.90","58.63","57.69","17.85M","0.57%"
"Nov 09, 2021","57.44","57.07","57.63","56.90","14.43M","0.77%"
"Nov 08, 2021","57.00","57.10","57.52","56.59","15.02M","-0.12%"
"Nov 05, 2021","57.07","57.38","57.80","56.93","15.64M","-0.09%"
"Nov 04, 2021","57.12","57.60","57.69","56.56","17.74M","-0.92%"
"Nov 03, 2021","57.65","57.58","57.93","57.12","13.16M","0.05%"
"Nov 02, 2021","57.62","56.37","57.87","56.28","22.03M","2.71%"
"Nov 01, 2021","56.10","55.87","56.25","55.50","14.28M","0.23%"
"Oct 29, 2021","55.97","56.31","56.58","55.86","13.55M","-0.48%"
"Oct 28, 2021","56.24","56.23","56.69","55.89","10.62M","0.11%"
"Oct 27, 2021","56.18","56.13","56.72","55.92","16.27M","0.66%"
"Oct 26, 2021","55.81","55.56","56.35","55.40","14.60M","1.22%"
"Oct 25, 2021","55.14","55.11","55.42","54.81","10.06M","0.05%"
"Oct 22, 2021","55.11","55.55","55.86","54.94","15.03M","-1.04%"
"Oct 21, 2021","55.69","56.04","56.12","55.53","12.56M","-0.91%"
"Oct 20, 2021","56.20","55.80","56.23","55.80","11.58M","0.83%"
"Oct 19, 2021","55.74","55.29","55.78","55.03","13.26M","1.00%"
"Oct 18, 2021","55.19","55.04","55.49","54.57","10.80M","-0.11%"
"Oct 15, 2021","55.25","55.89","55.89","54.96","15.20M","-0.72%"
"Oct 14, 2021","55.65","55.09","55.85","54.98","14.14M","1.89%"
"Oct 13, 2021","54.62","54.32","54.75","54.08","13.73M","0.63%"
"Oct 12, 2021","54.28","54.99","55.06","54.07","14.24M","-1.18%"
"Oct 11, 2021","54.93","55.25","55.38","54.90","8.11M","-0.27%"
"Oct 08, 2021","55.08","55.20","55.30","54.75","9.26M","0.11%"
"Oct 07, 2021","55.02","54.49","55.41","54.35","14.62M","2.00%"
"Oct 06, 2021","53.94","54.35","54.38","52.98","25.68M","-1.37%"
"Oct 05, 2021","54.69","54.13","55.03","54.13","13.94M","0.85%"
"Oct 04, 2021","54.23","54.50","54.68","53.95","17.04M","-1.65%"
"Oct 01, 2021","55.14","54.60","55.41","54.04","18.34M","1.30%"
