"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","154.89","155.87","156.57","154.74","6.19M","-0.67%"
"Dec 30, 2021","155.93","155.71","157.07","155.51","7.18M","0.68%"
"Dec 29, 2021","154.87","154.56","155.92","154.18","7.80M","-0.21%"
"Dec 28, 2021","155.20","152.62","156.50","152.41","12.14M","1.57%"
"Dec 27, 2021","152.80","152.88","154.02","151.40","7.56M","-0.54%"
"Dec 23, 2021","153.63","152.32","154.19","151.93","6.57M","1.15%"
"Dec 22, 2021","151.88","150.42","152.20","149.87","7.65M","0.55%"
"Dec 21, 2021","151.05","147.56","151.43","147.39","10.53M","3.13%"
"Dec 20, 2021","146.47","146.98","147.73","145.08","11.16M","-1.54%"
"Dec 17, 2021","148.76","148.51","149.84","146.57","13.88M","0.01%"
"Dec 16, 2021","148.75","151.35","152.06","148.58","11.03M","-1.10%"
"Dec 15, 2021","150.40","148.76","150.92","147.35","11.64M","0.87%"
"Dec 14, 2021","149.10","149.26","151.62","148.52","10.85M","-0.88%"
"Dec 13, 2021","150.43","152.12","152.50","149.29","10.16M","-1.49%"
"Dec 10, 2021","152.71","153.58","154.66","151.45","10.25M","-0.15%"
"Dec 09, 2021","152.94","152.27","154.29","151.70","11.84M","-0.26%"
"Dec 08, 2021","153.34","150.91","153.65","150.56","12.82M","1.68%"
"Dec 07, 2021","150.81","151.84","152.76","149.72","14.52M","0.29%"
"Dec 06, 2021","150.37","147.28","150.74","146.67","14.26M","2.84%"
"Dec 03, 2021","146.22","147.81","148.32","144.32","14.98M","-0.67%"
"Dec 02, 2021","147.20","142.84","147.65","142.77","17.79M","3.55%"
"Dec 01, 2021","142.15","146.70","148.37","142.04","16.50M","-1.90%"
"Nov 30, 2021","144.90","146.72","147.28","143.11","24.25M","-1.97%"
"Nov 29, 2021","147.81","148.81","149.30","144.25","21.10M","-0.20%"
"Nov 26, 2021","148.11","146.80","148.85","145.85","12.02M","-2.13%"
"Nov 24, 2021","151.34","150.69","151.41","148.80","14.12M","0.21%"
"Nov 23, 2021","151.03","153.84","154.25","150.19","17.06M","-2.03%"
"Nov 22, 2021","154.16","153.23","155.82","152.57","12.56M","0.10%"
"Nov 19, 2021","154.00","155.02","155.21","152.77","16.78M","-1.02%"
"Nov 18, 2021","155.58","157.09","157.30","153.71","14.49M","-1.11%"
"Nov 17, 2021","157.33","158.73","158.89","156.75","14.61M","-0.94%"
"Nov 16, 2021","158.83","159.06","160.24","158.55","14.96M","0.25%"
"Nov 15, 2021","158.43","160.09","160.72","157.66","21.29M","-0.75%"
"Nov 12, 2021","159.63","163.52","163.61","158.93","25.64M","-1.53%"
"Nov 11, 2021","162.11","162.89","163.96","158.33","62.13M","-7.07%"
"Nov 10, 2021","174.45","174.69","176.87","173.87","9.37M","-0.38%"
"Nov 09, 2021","175.11","176.95","177.12","173.21","7.22M","-1.00%"
"Nov 08, 2021","176.87","178.69","179.25","176.10","10.25M","0.71%"
"Nov 05, 2021","175.63","173.50","176.99","172.33","16.86M","3.14%"
"Nov 04, 2021","170.28","170.03","170.42","168.67","7.14M","0.12%"
"Nov 03, 2021","170.08","169.70","170.19","168.37","6.80M","0.15%"
"Nov 02, 2021","169.83","170.03","170.85","168.98","6.40M","-0.21%"
"Nov 01, 2021","170.19","169.21","171.25","169.09","8.04M","0.66%"
"Oct 29, 2021","169.07","169.02","170.46","168.15","7.60M","-0.36%"
"Oct 28, 2021","169.68","169.48","170.35","168.60","7.86M","0.08%"
"Oct 27, 2021","169.55","171.77","172.04","169.43","7.00M","-1.45%"
"Oct 26, 2021","172.04","172.95","173.12","170.71","5.82M","0.02%"
"Oct 25, 2021","172.01","169.90","172.57","169.02","9.76M","1.53%"
"Oct 22, 2021","169.42","170.57","170.80","168.60","7.85M","-1.12%"
"Oct 21, 2021","171.34","170.20","172.50","170.10","7.46M","0.46%"
"Oct 20, 2021","170.55","170.97","171.02","169.88","9.70M","-0.37%"
"Oct 19, 2021","171.18","171.44","171.58","170.18","9.67M","0.02%"
"Oct 18, 2021","171.14","172.36","173.34","169.80","20.16M","-3.01%"
"Oct 15, 2021","176.46","175.69","178.89","174.10","13.94M","1.18%"
"Oct 14, 2021","174.41","174.07","176.02","174.00","7.39M","0.84%"
"Oct 13, 2021","172.96","173.63","173.70","170.94","8.82M","-0.10%"
"Oct 12, 2021","173.13","173.62","174.49","172.54","5.19M","-0.22%"
"Oct 11, 2021","173.52","176.02","176.52","173.48","8.03M","-1.82%"
"Oct 08, 2021","176.74","177.93","178.60","176.40","4.13M","-0.55%"
"Oct 07, 2021","177.71","177.70","179.63","177.33","7.45M","1.27%"
"Oct 06, 2021","175.48","173.00","175.71","171.55","5.90M","0.50%"
"Oct 05, 2021","174.61","173.83","176.24","173.61","6.49M","0.66%"
"Oct 04, 2021","173.46","175.56","175.96","172.66","7.12M","-1.45%"
"Oct 01, 2021","176.01","172.28","177.32","171.97","12.17M","4.04%"
