"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","133.66","134.00","134.99","133.61","3.32M","-0.19%"
"Dec 30, 2021","133.91","133.75","134.37","133.33","3.15M","0.42%"
"Dec 29, 2021","133.35","132.40","134.21","132.30","4.22M","0.54%"
"Dec 28, 2021","132.63","131.60","133.22","131.59","3.43M","0.77%"
"Dec 27, 2021","131.62","130.63","131.65","129.95","3.92M","0.76%"
"Dec 23, 2021","130.63","130.00","130.96","129.52","3.65M","0.68%"
"Dec 22, 2021","129.75","129.06","129.79","127.60","3.88M","0.60%"
"Dec 21, 2021","128.97","127.66","129.34","127.66","4.85M","1.50%"
"Dec 20, 2021","127.06","125.72","127.20","124.70","4.91M","-0.27%"
"Dec 17, 2021","127.40","125.87","128.64","125.21","10.38M","1.17%"
"Dec 16, 2021","125.93","123.51","126.64","123.47","7.27M","2.29%"
"Dec 15, 2021","123.11","123.80","124.82","122.18","4.98M","-0.53%"
"Dec 14, 2021","123.76","122.35","125.03","122.30","5.71M","0.96%"
"Dec 13, 2021","122.58","123.76","124.36","120.79","6.83M","-1.22%"
"Dec 10, 2021","124.09","124.30","125.33","123.36","4.97M","0.42%"
"Dec 09, 2021","123.57","122.15","123.95","121.79","4.60M","0.45%"
"Dec 08, 2021","123.02","122.00","123.38","121.52","5.46M","1.18%"
"Dec 07, 2021","121.58","120.47","122.08","120.07","5.10M","1.39%"
"Dec 06, 2021","119.91","119.40","121.15","119.40","4.77M","0.90%"
"Dec 03, 2021","118.84","117.36","119.36","117.36","6.63M","1.66%"
"Dec 02, 2021","116.90","117.37","117.98","116.56","5.26M","-0.02%"
"Dec 01, 2021","116.92","118.25","118.93","116.85","5.96M","-0.15%"
"Nov 30, 2021","117.10","117.50","119.24","116.45","8.92M","-1.18%"
"Nov 29, 2021","118.50","118.62","119.61","117.53","8.92M","2.32%"
"Nov 26, 2021","115.81","115.00","116.33","114.56","3.32M","-0.79%"
"Nov 24, 2021","116.73","116.16","117.27","116.08","3.22M","-0.05%"
"Nov 23, 2021","116.79","116.79","117.94","116.04","4.90M","0.27%"
"Nov 22, 2021","116.47","116.00","118.81","115.19","6.17M","0.36%"
"Nov 19, 2021","116.05","116.49","116.56","115.27","5.38M","-0.52%"
"Nov 18, 2021","116.66","118.36","118.36","116.31","5.05M","-1.19%"
"Nov 17, 2021","118.06","118.38","119.33","117.78","3.97M","-0.34%"
"Nov 16, 2021","118.46","118.92","119.90","118.42","4.59M","-0.34%"
"Nov 15, 2021","118.87","119.54","120.16","118.31","5.05M","-0.08%"
"Nov 12, 2021","118.96","120.00","120.64","118.78","5.42M","-1.09%"
"Nov 11, 2021","120.27","120.90","121.79","120.08","4.61M","0.04%"
"Nov 10, 2021","120.22","121.00","122.43","119.93","6.24M","-0.52%"
"Nov 09, 2021","120.85","122.56","122.90","120.26","7.20M","-2.96%"
"Nov 08, 2021","124.54","123.99","124.78","123.53","5.61M","0.75%"
"Nov 05, 2021","123.61","121.43","123.77","121.43","6.79M","2.28%"
"Nov 04, 2021","120.85","123.05","123.34","119.90","7.07M","-4.94%"
"Nov 03, 2021","127.13","126.23","127.29","125.68","5.40M","0.75%"
"Nov 02, 2021","126.18","126.30","127.17","124.91","4.50M","-0.08%"
"Nov 01, 2021","126.28","125.05","126.31","123.84","5.87M","0.94%"
"Oct 29, 2021","125.10","125.43","126.32","124.91","5.92M","-0.59%"
"Oct 28, 2021","125.84","125.17","126.31","124.62","6.46M","0.54%"
"Oct 27, 2021","125.17","127.44","127.88","125.01","6.97M","-1.54%"
"Oct 26, 2021","127.13","127.52","128.30","126.75","8.36M","-0.40%"
"Oct 25, 2021","127.64","127.53","128.65","126.94","6.37M","-0.19%"
"Oct 22, 2021","127.88","128.05","130.25","126.61","11.58M","-0.35%"
"Oct 21, 2021","128.33","133.51","133.72","128.10","31.37M","-9.56%"
"Oct 20, 2021","141.90","141.68","142.20","140.70","5.29M","-0.06%"
"Oct 19, 2021","141.98","141.08","142.94","140.52","4.34M","-0.24%"
"Oct 18, 2021","142.32","144.00","144.94","141.76","6.08M","-1.58%"
"Oct 15, 2021","144.61","143.39","144.85","142.79","3.22M","0.85%"
"Oct 14, 2021","143.39","141.04","143.92","141.01","4.20M","1.87%"
"Oct 13, 2021","140.76","140.52","141.41","139.66","2.88M","0.21%"
"Oct 12, 2021","140.47","142.21","142.30","140.30","3.15M","-1.38%"
"Oct 11, 2021","142.43","143.50","144.08","142.40","2.79M","-0.55%"
"Oct 08, 2021","143.22","141.81","143.65","141.05","3.73M","0.99%"
"Oct 07, 2021","141.81","142.73","143.40","141.53","3.82M","-0.39%"
"Oct 06, 2021","142.36","142.48","143.37","140.89","5.29M","-0.55%"
"Oct 05, 2021","143.15","144.75","145.00","142.64","6.78M","-0.67%"
"Oct 04, 2021","144.11","142.74","146.00","142.35","7.32M","0.55%"
"Oct 01, 2021","143.32","141.00","143.97","140.37","6.60M","3.16%"
