"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","51.50","51.89","52.16","51.46","15.76M","-0.46%"
"Dec 30, 2021","51.74","51.92","52.14","51.65","18.32M","-0.17%"
"Dec 29, 2021","51.83","51.81","52.14","51.66","14.14M","0.14%"
"Dec 28, 2021","51.76","51.93","52.12","51.63","18.71M","-0.35%"
"Dec 27, 2021","51.94","51.35","52.06","51.30","20.81M","1.23%"
"Dec 23, 2021","51.31","51.08","51.73","51.05","25.20M","0.67%"
"Dec 22, 2021","50.97","50.64","51.02","50.21","20.94M","0.39%"
"Dec 21, 2021","50.77","49.94","50.84","49.94","31.48M","2.36%"
"Dec 20, 2021","49.60","49.91","50.13","48.96","29.90M","-2.02%"
"Dec 17, 2021","50.62","50.59","51.02","50.01","50.19M","-0.41%"
"Dec 16, 2021","50.83","50.74","51.40","50.58","32.13M","0.32%"
"Dec 15, 2021","50.67","49.87","50.78","49.33","32.46M","1.95%"
"Dec 14, 2021","49.70","49.82","50.27","49.32","33.26M","-0.60%"
"Dec 13, 2021","50.00","50.85","51.02","49.95","33.65M","-1.17%"
"Dec 10, 2021","50.59","50.84","51.07","50.05","23.78M","0.22%"
"Dec 09, 2021","50.48","51.30","51.58","50.43","30.68M","-2.45%"
"Dec 08, 2021","51.75","52.57","52.88","51.38","36.80M","-1.56%"
"Dec 07, 2021","52.57","54.66","55.00","52.21","90.81M","3.10%"
"Dec 06, 2021","50.99","49.48","51.21","49.18","38.83M","3.53%"
"Dec 03, 2021","49.25","49.67","50.06","48.76","32.22M","-0.51%"
"Dec 02, 2021","49.50","48.61","49.79","48.33","37.20M","1.85%"
"Dec 01, 2021","48.60","49.84","50.31","48.52","35.13M","-1.22%"
"Nov 30, 2021","49.20","49.50","50.40","48.68","49.39M","-1.60%"
"Nov 29, 2021","50.00","49.30","50.13","48.72","31.38M","2.50%"
"Nov 26, 2021","48.78","48.90","49.17","48.12","25.27M","-1.97%"
"Nov 24, 2021","49.76","48.85","49.78","48.63","26.04M","1.34%"
"Nov 23, 2021","49.10","50.16","50.45","48.64","44.45M","-1.46%"
"Nov 22, 2021","49.83","49.55","50.85","49.41","32.34M","0.63%"
"Nov 19, 2021","49.52","49.60","49.73","49.24","27.61M","-0.32%"
"Nov 18, 2021","49.68","50.24","50.24","48.97","30.67M","-1.09%"
"Nov 17, 2021","50.23","50.60","50.94","49.98","23.40M","-0.75%"
"Nov 16, 2021","50.61","50.37","51.15","50.34","30.43M","0.58%"
"Nov 15, 2021","50.32","50.41","50.63","50.12","24.70M","0.02%"
"Nov 12, 2021","50.31","50.60","50.90","50.18","23.88M","-0.44%"
"Nov 11, 2021","50.53","51.01","51.07","50.41","25.00M","-0.45%"
"Nov 10, 2021","50.76","50.97","51.39","50.71","24.60M","-0.86%"
"Nov 09, 2021","51.20","51.54","51.77","50.76","22.36M","-0.68%"
"Nov 08, 2021","51.55","51.46","51.99","51.06","31.57M","1.24%"
"Nov 05, 2021","50.92","50.55","51.58","50.54","36.82M","1.21%"
"Nov 04, 2021","50.31","50.24","50.35","49.73","24.62M","-0.16%"
"Nov 03, 2021","50.39","49.93","50.45","49.71","23.75M","1.06%"
"Nov 02, 2021","49.86","49.61","49.90","49.23","26.89M","0.63%"
"Nov 01, 2021","49.55","49.40","49.60","49.00","27.85M","1.12%"
"Oct 29, 2021","49.00","48.10","49.28","47.92","42.30M","1.91%"
"Oct 28, 2021","48.08","48.14","48.36","47.88","30.89M","0.40%"
"Oct 27, 2021","47.89","48.52","48.82","47.87","40.75M","-0.81%"
"Oct 26, 2021","48.28","49.40","49.44","47.93","68.16M","-2.29%"
"Oct 25, 2021","49.41","49.83","50.07","49.31","42.73M","-0.10%"
"Oct 22, 2021","49.46","50.39","50.55","49.14","109.97M","-11.68%"
"Oct 21, 2021","56.00","54.92","56.07","54.83","34.46M","1.14%"
"Oct 20, 2021","55.37","55.25","55.49","55.08","16.80M","0.29%"
"Oct 19, 2021","55.21","54.63","55.22","54.37","18.39M","1.36%"
"Oct 18, 2021","54.47","54.19","54.56","53.72","21.06M","0.02%"
"Oct 15, 2021","54.46","54.20","54.49","53.81","25.23M","1.04%"
"Oct 14, 2021","53.90","52.90","54.00","52.73","25.73M","3.14%"
"Oct 13, 2021","52.26","52.38","52.58","51.87","18.37M","0.17%"
"Oct 12, 2021","52.17","53.57","53.72","52.01","32.78M","-2.38%"
"Oct 11, 2021","53.44","53.81","54.41","53.42","14.36M","-0.69%"
"Oct 08, 2021","53.81","54.55","54.58","53.70","16.07M","-0.68%"
"Oct 07, 2021","54.18","54.32","54.99","54.12","20.56M","0.37%"
"Oct 06, 2021","53.98","53.48","54.07","53.07","19.74M","0.06%"
"Oct 05, 2021","53.95","53.55","54.34","53.47","17.83M","0.90%"
"Oct 04, 2021","53.47","53.93","54.33","53.08","24.93M","-0.72%"
"Oct 01, 2021","53.86","53.65","54.10","53.05","19.90M","1.09%"
