"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","158.35","158.45","159.29","157.96","5.72M","-0.08%"
"Dec 30, 2021","158.48","159.11","160.24","158.37","6.23M","-0.05%"
"Dec 29, 2021","158.56","158.85","159.63","158.15","6.32M","-0.05%"
"Dec 28, 2021","158.64","158.20","160.15","158.08","6.31M","0.30%"
"Dec 27, 2021","158.16","157.60","158.20","156.34","6.08M","0.57%"
"Dec 23, 2021","157.26","157.61","159.12","157.21","8.06M","0.36%"
"Dec 22, 2021","156.70","155.75","157.05","155.24","7.18M","0.39%"
"Dec 21, 2021","156.09","155.41","157.18","155.09","10.66M","1.40%"
"Dec 20, 2021","153.94","154.51","154.70","151.84","14.97M","-1.80%"
"Dec 17, 2021","156.76","159.32","159.38","155.18","28.14M","-2.28%"
"Dec 16, 2021","160.41","160.39","161.82","158.70","18.78M","1.56%"
"Dec 15, 2021","157.94","159.85","159.85","157.35","13.94M","-0.75%"
"Dec 14, 2021","159.13","157.45","160.89","157.30","11.55M","0.77%"
"Dec 13, 2021","157.92","159.50","159.79","157.28","11.13M","-1.19%"
"Dec 10, 2021","159.82","161.32","161.70","159.13","10.41M","-0.40%"
"Dec 09, 2021","160.46","159.65","160.93","158.65","10.90M","-0.16%"
"Dec 08, 2021","160.71","162.66","163.27","160.17","11.40M","-1.14%"
"Dec 07, 2021","162.57","161.88","163.39","161.16","9.49M","1.50%"
"Dec 06, 2021","160.16","161.01","162.61","159.46","10.87M","1.18%"
"Dec 03, 2021","158.29","161.50","161.83","157.19","12.68M","-1.81%"
"Dec 02, 2021","161.21","159.83","163.25","158.80","12.70M","2.10%"
"Dec 01, 2021","157.89","161.00","163.27","157.80","12.26M","-0.59%"
"Nov 30, 2021","158.83","159.15","160.63","158.29","18.09M","-1.49%"
"Nov 29, 2021","161.23","163.31","164.78","159.82","11.19M","-0.43%"
"Nov 26, 2021","161.93","162.14","162.65","158.82","13.62M","-3.01%"
"Nov 24, 2021","166.96","168.46","169.44","166.44","9.63M","-0.78%"
"Nov 23, 2021","168.28","165.50","168.55","165.37","12.25M","2.39%"
"Nov 22, 2021","164.35","164.16","165.98","162.99","13.58M","2.13%"
"Nov 19, 2021","160.92","161.30","162.11","159.45","12.19M","-1.31%"
"Nov 18, 2021","163.05","164.39","164.85","162.56","8.12M","-0.86%"
"Nov 17, 2021","164.47","165.21","165.56","163.39","8.95M","-0.54%"
"Nov 16, 2021","165.36","167.06","167.07","165.12","8.80M","-0.72%"
"Nov 15, 2021","166.56","167.21","167.79","166.00","6.49M","-0.18%"
"Nov 12, 2021","166.86","167.65","167.74","165.72","8.11M","-0.45%"
"Nov 11, 2021","167.61","167.52","168.68","166.90","5.75M","-0.01%"
"Nov 10, 2021","167.62","167.45","168.95","167.09","6.81M","-0.10%"
"Nov 09, 2021","167.78","167.35","168.47","166.60","7.62M","-0.76%"
"Nov 08, 2021","169.06","169.05","170.92","168.74","6.26M","0.60%"
"Nov 05, 2021","168.05","168.90","170.09","167.41","7.98M","-0.14%"
"Nov 04, 2021","168.29","170.00","170.20","166.49","9.40M","-1.31%"
"Nov 03, 2021","170.53","170.13","171.13","169.15","8.02M","0.04%"
"Nov 02, 2021","170.47","169.80","171.69","168.92","7.07M","0.39%"
"Nov 01, 2021","169.80","172.04","172.33","169.01","7.36M","-0.05%"
"Oct 29, 2021","169.89","171.18","172.24","169.39","8.14M","-0.28%"
"Oct 28, 2021","170.36","168.30","170.51","167.96","7.06M","1.51%"
"Oct 27, 2021","167.83","170.32","170.70","167.34","9.70M","-2.08%"
"Oct 26, 2021","171.40","171.00","172.49","170.54","7.26M","0.27%"
"Oct 25, 2021","170.94","172.71","172.96","170.48","9.36M","-0.49%"
"Oct 22, 2021","171.78","170.03","172.09","169.70","8.82M","1.35%"
"Oct 21, 2021","169.50","170.76","171.33","168.68","8.06M","-0.78%"
"Oct 20, 2021","170.84","168.30","170.87","167.46","8.05M","1.35%"
"Oct 19, 2021","168.57","167.40","168.65","166.58","8.05M","1.21%"
"Oct 18, 2021","166.55","166.48","168.61","165.91","11.26M","-0.04%"
"Oct 15, 2021","166.61","165.35","167.17","164.14","14.27M","1.92%"
"Oct 14, 2021","163.47","161.75","164.01","160.06","14.24M","1.53%"
"Oct 13, 2021","161.00","164.07","165.41","160.60","22.38M","-2.64%"
"Oct 12, 2021","165.36","165.75","166.69","164.77","13.03M","-0.77%"
"Oct 11, 2021","166.64","170.80","171.29","166.46","11.73M","-2.10%"
"Oct 08, 2021","170.22","170.02","171.34","169.29","8.19M","0.08%"
"Oct 07, 2021","170.09","171.20","171.51","169.54","9.68M","0.63%"
"Oct 06, 2021","169.02","167.99","169.10","166.00","8.65M","0.21%"
"Oct 05, 2021","168.66","167.21","170.14","166.67","12.06M","1.02%"
"Oct 04, 2021","166.95","166.97","170.44","165.73","13.46M","-0.11%"
"Oct 01, 2021","167.13","164.00","168.30","163.60","11.28M","2.10%"
