"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","336.32","338.51","339.36","335.85","17.77M","-0.88%"
"Dec 30, 2021","339.32","341.91","343.13","338.82","15.77M","-0.77%"
"Dec 29, 2021","341.95","341.30","344.30","339.68","14.98M","0.21%"
"Dec 28, 2021","341.25","343.15","343.81","340.32","15.27M","-0.35%"
"Dec 27, 2021","342.45","335.46","342.48","335.43","19.86M","2.32%"
"Dec 23, 2021","334.69","332.75","336.39","332.73","19.62M","0.45%"
"Dec 22, 2021","333.20","328.30","333.61","325.75","24.51M","1.81%"
"Dec 21, 2021","327.29","323.29","327.73","319.80","24.29M","2.31%"
"Dec 20, 2021","319.91","320.05","322.80","317.57","28.12M","-1.20%"
"Dec 17, 2021","323.80","320.88","324.92","317.25","47.98M","-0.34%"
"Dec 16, 2021","324.90","335.71","336.76","323.02","34.48M","-2.91%"
"Dec 15, 2021","334.65","328.61","335.19","324.50","34.84M","1.92%"
"Dec 14, 2021","328.34","333.22","334.64","324.11","43.50M","-3.26%"
"Dec 13, 2021","339.40","340.68","343.79","339.08","28.08M","-0.92%"
"Dec 10, 2021","342.54","334.98","343.00","334.79","38.10M","2.83%"
"Dec 09, 2021","333.10","334.41","336.49","332.12","21.78M","-0.56%"
"Dec 08, 2021","334.97","335.31","335.50","330.80","24.70M","0.01%"
"Dec 07, 2021","334.92","331.64","335.80","330.10","30.70M","2.68%"
"Dec 06, 2021","326.19","323.95","327.45","319.23","29.91M","0.98%"
"Dec 03, 2021","323.01","331.99","332.70","318.03","41.78M","-1.97%"
"Dec 02, 2021","329.49","330.30","333.49","327.80","29.57M","-0.18%"
"Dec 01, 2021","330.08","335.13","339.28","329.39","33.40M","-0.15%"
