"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","144.69","143.20","145.04","142.92","5.84M","1.06%"
"Dec 30, 2021","143.17","143.26","143.70","142.48","4.96M","0.32%"
"Dec 29, 2021","142.71","142.66","143.53","142.32","4.33M","-0.05%"
"Dec 28, 2021","142.78","140.60","142.97","140.60","5.25M","1.44%"
"Dec 27, 2021","140.76","139.60","140.87","139.57","5.29M","0.91%"
"Dec 23, 2021","139.49","139.80","140.16","138.85","5.86M","-0.22%"
"Dec 22, 2021","139.80","139.90","139.99","138.53","5.66M","0.13%"
"Dec 21, 2021","139.62","138.90","139.86","138.01","8.01M","0.30%"
"Dec 20, 2021","139.20","138.12","139.75","137.60","9.87M","0.32%"
"Dec 17, 2021","138.75","142.75","143.95","138.39","26.24M","-3.20%"
"Dec 16, 2021","143.34","145.77","146.53","142.89","12.92M","-1.67%"
"Dec 15, 2021","145.77","145.21","146.47","143.40","11.04M","0.57%"
"Dec 14, 2021","144.94","143.30","145.28","142.15","14.51M","0.95%"
"Dec 13, 2021","143.57","140.24","143.75","140.01","17.97M","1.80%"
"Dec 10, 2021","141.03","138.34","141.30","137.57","12.86M","1.83%"
"Dec 09, 2021","138.50","136.63","138.57","135.71","10.55M","0.98%"
"Dec 08, 2021","137.15","138.06","138.50","136.01","11.44M","-1.01%"
"Dec 07, 2021","138.55","139.60","139.83","138.09","12.25M","-0.32%"
"Dec 06, 2021","139.00","137.56","139.36","137.10","10.85M","1.08%"
"Dec 03, 2021","137.51","135.86","137.88","135.29","14.71M","1.51%"
"Dec 02, 2021","135.47","137.63","138.44","135.24","13.23M","-1.22%"
"Dec 01, 2021","137.14","140.51","140.71","137.04","12.23M","-2.48%"
"Nov 30, 2021","140.63","141.48","142.50","140.01","19.62M","-1.40%"
"Nov 29, 2021","142.63","145.00","145.25","142.23","9.84M","-1.57%"
"Nov 26, 2021","144.90","146.44","147.88","144.42","7.01M","-1.12%"
"Nov 24, 2021","146.54","145.73","147.06","145.64","6.03M","0.50%"
"Nov 23, 2021","145.81","144.25","145.98","143.25","9.96M","0.71%"
"Nov 22, 2021","144.78","142.66","145.36","142.00","9.36M","1.68%"
"Nov 19, 2021","142.39","143.62","144.00","141.94","9.38M","-0.54%"
"Nov 18, 2021","143.16","142.14","143.29","140.86","8.14M","0.86%"
"Nov 17, 2021","141.94","143.16","144.72","141.82","10.96M","-0.86%"
"Nov 16, 2021","143.17","145.10","146.68","142.30","24.22M","-2.55%"
"Nov 15, 2021","146.91","148.15","148.45","146.40","9.63M","-0.58%"
"Nov 12, 2021","147.76","149.00","149.24","147.54","6.10M","-0.50%"
"Nov 11, 2021","148.50","148.77","148.99","148.19","4.49M","0.04%"
"Nov 10, 2021","148.44","148.73","149.62","147.98","5.57M","-0.90%"
"Nov 09, 2021","149.79","149.52","149.87","148.87","4.98M","0.35%"
"Nov 08, 2021","149.27","150.22","150.51","148.73","4.97M","-0.64%"
"Nov 05, 2021","150.23","152.00","152.00","149.62","5.03M","-0.69%"
"Nov 04, 2021","151.28","150.18","151.85","149.83","4.86M","0.73%"
"Nov 03, 2021","150.18","149.60","150.29","149.03","4.70M","0.31%"
"Nov 02, 2021","149.72","149.97","150.18","149.28","4.54M","-0.05%"
"Nov 01, 2021","149.79","149.98","150.75","149.35","4.05M","0.25%"
"Oct 29, 2021","149.42","147.91","150.10","147.56","7.34M","0.65%"
"Oct 28, 2021","148.45","148.34","148.98","147.71","4.18M","0.62%"
"Oct 27, 2021","147.53","148.96","149.02","147.39","4.83M","-0.82%"
"Oct 26, 2021","148.75","150.00","150.55","148.46","5.72M","-0.87%"
"Oct 25, 2021","150.06","148.78","150.52","148.01","6.39M","1.16%"
"Oct 22, 2021","148.34","147.10","149.69","147.10","7.07M","1.04%"
"Oct 21, 2021","146.81","146.58","146.91","145.81","4.59M","0.55%"
"Oct 20, 2021","146.00","144.89","146.49","144.89","5.81M","0.91%"
"Oct 19, 2021","144.69","144.63","145.61","143.66","11.15M","2.12%"
"Oct 18, 2021","141.68","140.00","142.01","139.83","6.47M","0.80%"
"Oct 15, 2021","140.55","140.62","141.10","139.96","6.91M","0.49%"
"Oct 14, 2021","139.87","138.50","140.07","138.50","6.57M","1.08%"
"Oct 13, 2021","138.37","139.50","140.01","138.13","5.96M","-0.72%"
"Oct 12, 2021","139.38","139.34","140.41","139.07","5.26M","-0.11%"
"Oct 11, 2021","139.53","139.52","140.78","139.44","4.28M","-0.09%"
"Oct 08, 2021","139.66","139.66","140.09","139.01","4.62M","0.30%"
"Oct 07, 2021","139.24","138.78","140.70","138.76","6.91M","1.18%"
"Oct 06, 2021","137.62","136.24","137.79","136.13","6.43M","0.73%"
"Oct 05, 2021","136.62","135.95","137.71","135.90","6.85M","0.66%"
"Oct 04, 2021","135.73","137.09","138.23","134.71","9.75M","-0.96%"
"Oct 01, 2021","137.05","139.26","139.63","135.92","10.00M","-1.67%"
