Date,Price_appl,Price_amzn,Price_appl
"Mar 22, 2021",1.23E+02,3.11E+03,6.70E+02
"Mar 23, 2021",1.23E+02,3.14E+03,6.62E+02
"Mar 24, 2021",1.20E+02,3.09E+03,6.30E+02
"Mar 25, 2021",1.21E+02,3.05E+03,6.40E+02
"Mar 26, 2021",1.21E+02,3.05E+03,6.19E+02
"Mar 29, 2021",1.21E+02,3.08E+03,6.11E+02
"Mar 30, 2021",1.20E+02,3.06E+03,6.36E+02
"Mar 31, 2021",1.22E+02,3.09E+03,6.68E+02
"Apr 01, 2021",1.23E+02,3.16E+03,6.62E+02
"Apr 05, 2021",1.26E+02,3.23E+03,6.91E+02
"Apr 06, 2021",1.26E+02,3.22E+03,6.92E+02
"Apr 07, 2021",1.28E+02,3.28E+03,6.71E+02
"Apr 08, 2021",1.30E+02,3.30E+03,6.84E+02
"Apr 09, 2021",1.33E+02,3.37E+03,6.77E+02
"Apr 12, 2021",1.31E+02,3.38E+03,7.02E+02
"Apr 13, 2021",1.34E+02,3.40E+03,7.62E+02
"Apr 14, 2021",1.32E+02,3.33E+03,7.32E+02
"Apr 15, 2021",1.35E+02,3.38E+03,7.39E+02
"Apr 16, 2021",1.34E+02,3.40E+03,7.40E+02
"Apr 19, 2021",1.35E+02,3.37E+03,7.15E+02
"Apr 20, 2021",1.33E+02,3.33E+03,7.19E+02
"Apr 21, 2021",1.34E+02,3.36E+03,7.44E+02
"Apr 22, 2021",1.32E+02,3.31E+03,7.20E+02
"Apr 23, 2021",1.34E+02,3.34E+03,7.29E+02
"Apr 26, 2021",1.35E+02,3.41E+03,7.38E+02
"Apr 27, 2021",1.34E+02,3.42E+03,7.05E+02
"Apr 28, 2021",1.34E+02,3.46E+03,6.94E+02
"Apr 29, 2021",1.33E+02,3.47E+03,6.77E+02
"Apr 30, 2021",1.31E+02,3.47E+03,7.09E+02
"May 03, 2021",1.33E+02,3.39E+03,6.85E+02
"May 04, 2021",1.28E+02,3.31E+03,6.74E+02
"May 05, 2021",1.28E+02,3.27E+03,6.71E+02
"May 06, 2021",1.30E+02,3.31E+03,6.64E+02
"May 07, 2021",1.30E+02,3.29E+03,6.72E+02
"May 10, 2021",1.27E+02,3.19E+03,6.29E+02
"May 11, 2021",1.26E+02,3.22E+03,6.17E+02
"May 12, 2021",1.23E+02,3.15E+03,5.90E+02
"May 13, 2021",1.25E+02,3.16E+03,5.72E+02
"May 14, 2021",1.27E+02,3.22E+03,5.90E+02
"May 17, 2021",1.26E+02,3.27E+03,5.77E+02
"May 18, 2021",1.25E+02,3.23E+03,5.78E+02
"May 19, 2021",1.25E+02,3.23E+03,5.63E+02
"May 20, 2021",1.27E+02,3.25E+03,5.87E+02
"May 21, 2021",1.25E+02,3.20E+03,5.81E+02
"May 24, 2021",1.27E+02,3.24E+03,6.06E+02
"May 25, 2021",1.27E+02,3.26E+03,6.05E+02
"May 26, 2021",1.27E+02,3.27E+03,6.19E+02
"May 27, 2021",1.25E+02,3.23E+03,6.31E+02
"May 28, 2021",1.25E+02,3.22E+03,6.25E+02
"Jun 01, 2021",1.24E+02,3.22E+03,6.24E+02
"Jun 02, 2021",1.25E+02,3.23E+03,6.05E+02
"Jun 03, 2021",1.24E+02,3.19E+03,5.73E+02
"Jun 04, 2021",1.26E+02,3.21E+03,5.99E+02
"Jun 07, 2021",1.26E+02,3.20E+03,6.05E+02
"Jun 08, 2021",1.27E+02,3.26E+03,6.04E+02
"Jun 09, 2021",1.27E+02,3.28E+03,5.99E+02
"Jun 10, 2021",1.26E+02,3.35E+03,6.10E+02
"Jun 11, 2021",1.27E+02,3.35E+03,6.10E+02
"Jun 14, 2021",1.30E+02,3.38E+03,6.18E+02
"Jun 15, 2021",1.30E+02,3.38E+03,5.99E+02
"Jun 16, 2021",1.30E+02,3.42E+03,6.05E+02
"Jun 17, 2021",1.32E+02,3.49E+03,6.17E+02
"Jun 18, 2021",1.30E+02,3.49E+03,6.23E+02
"Jun 21, 2021",1.32E+02,3.45E+03,6.21E+02
"Jun 22, 2021",1.34E+02,3.51E+03,6.24E+02
"Jun 23, 2021",1.34E+02,3.50E+03,6.57E+02
"Jun 24, 2021",1.33E+02,3.45E+03,6.80E+02
"Jun 25, 2021",1.33E+02,3.40E+03,6.72E+02
"Jun 28, 2021",1.35E+02,3.44E+03,6.89E+02
"Jun 29, 2021",1.36E+02,3.45E+03,6.81E+02
"Jun 30, 2021",1.37E+02,3.44E+03,6.80E+02
"Jul 01, 2021",1.37E+02,3.43E+03,6.78E+02
"Jul 02, 2021",1.40E+02,3.51E+03,6.79E+02
"Jul 06, 2021",1.42E+02,3.68E+03,6.60E+02
"Jul 07, 2021",1.45E+02,3.70E+03,6.45E+02
"Jul 08, 2021",1.43E+02,3.73E+03,6.53E+02
"Jul 09, 2021",1.45E+02,3.72E+03,6.57E+02
"Jul 12, 2021",1.45E+02,3.72E+03,6.86E+02
"Jul 13, 2021",1.46E+02,3.68E+03,6.69E+02
"Jul 14, 2021",1.49E+02,3.68E+03,6.53E+02
"Jul 15, 2021",1.48E+02,3.63E+03,6.51E+02
"Jul 16, 2021",1.46E+02,3.57E+03,6.44E+02
"Jul 19, 2021",1.42E+02,3.55E+03,6.46E+02
"Jul 20, 2021",1.46E+02,3.57E+03,6.61E+02
"Jul 21, 2021",1.45E+02,3.59E+03,6.55E+02
"Jul 22, 2021",1.47E+02,3.64E+03,6.49E+02
"Jul 23, 2021",1.49E+02,3.66E+03,6.43E+02
"Jul 26, 2021",1.49E+02,3.70E+03,6.58E+02
"Jul 27, 2021",1.47E+02,3.63E+03,6.45E+02
"Jul 28, 2021",1.45E+02,3.63E+03,6.47E+02
"Jul 29, 2021",1.46E+02,3.60E+03,6.77E+02
"Jul 30, 2021",1.46E+02,3.33E+03,6.87E+02
"Aug 02, 2021",1.46E+02,3.33E+03,7.10E+02
"Aug 03, 2021",1.47E+02,3.37E+03,7.10E+02
"Aug 04, 2021",1.47E+02,3.35E+03,7.11E+02
"Aug 05, 2021",1.47E+02,3.38E+03,7.15E+02
"Aug 06, 2021",1.46E+02,3.34E+03,6.99E+02
"Aug 09, 2021",1.46E+02,3.34E+03,7.14E+02
"Aug 10, 2021",1.46E+02,3.32E+03,7.10E+02
"Aug 11, 2021",1.46E+02,3.29E+03,7.08E+02
"Aug 12, 2021",1.49E+02,3.30E+03,7.22E+02
"Aug 13, 2021",1.49E+02,3.29E+03,7.17E+02
"Aug 16, 2021",1.51E+02,3.30E+03,6.86E+02
